attr	element	anim	treatValueAs
requiredExtensions	animateMotion	FALSE	wsp-list
requiredExtensions	animateTransform	FALSE	wsp-list
requiredExtensions	circle	FALSE	wsp-list
requiredExtensions	clipPath	FALSE	wsp-list
requiredExtensions	cursor	FALSE	wsp-list
requiredExtensions	defs	FALSE	wsp-list
requiredExtensions	ellipse	FALSE	wsp-list
requiredExtensions	foreignObject	FALSE	wsp-list
requiredExtensions	g	FALSE	wsp-list
requiredExtensions	image	FALSE	wsp-list
requiredExtensions	line	FALSE	wsp-list
requiredExtensions	mask	FALSE	wsp-list
requiredExtensions	path	FALSE	wsp-list
requiredExtensions	pattern	FALSE	wsp-list
requiredExtensions	polygon	FALSE	wsp-list
requiredExtensions	polyline	FALSE	wsp-list
requiredExtensions	rect	FALSE	wsp-list
requiredExtensions	set	FALSE	wsp-list
requiredExtensions	svg	FALSE	wsp-list
requiredExtensions	switch	FALSE	wsp-list
requiredExtensions	text	FALSE	wsp-list
requiredExtensions	textPath	FALSE	wsp-list
requiredExtensions	tref	FALSE	wsp-list
requiredExtensions	tspan	FALSE	wsp-list
requiredExtensions	use	FALSE	wsp-list
requiredFeatures	a	FALSE	wsp-list
requiredFeatures	altGlyph	FALSE	wsp-list
requiredFeatures	animate	FALSE	wsp-list
requiredFeatures	animateColor	FALSE	wsp-list
requiredFeatures	animateMotion	FALSE	wsp-list
requiredFeatures	animateTransform	FALSE	wsp-list
requiredFeatures	circle	FALSE	wsp-list
requiredFeatures	clipPath	FALSE	wsp-list
requiredFeatures	cursor	FALSE	wsp-list
requiredFeatures	defs	FALSE	wsp-list
requiredFeatures	ellipse	FALSE	wsp-list
requiredFeatures	foreignObject	FALSE	wsp-list
requiredFeatures	g	FALSE	wsp-list
requiredFeatures	image	FALSE	wsp-list
requiredFeatures	line	FALSE	wsp-list
requiredFeatures	mask	FALSE	wsp-list
requiredFeatures	path	FALSE	wsp-list
requiredFeatures	pattern	FALSE	wsp-list
requiredFeatures	polygon	FALSE	wsp-list
requiredFeatures	polyline	FALSE	wsp-list
requiredFeatures	rect	FALSE	wsp-list
requiredFeatures	set	FALSE	wsp-list
requiredFeatures	svg	FALSE	wsp-list
requiredFeatures	switch	FALSE	wsp-list
requiredFeatures	text	FALSE	wsp-list
requiredFeatures	textPath	FALSE	wsp-list
requiredFeatures	tref	FALSE	wsp-list
requiredFeatures	tspan	FALSE	wsp-list
requiredFeatures	use	FALSE	wsp-list
systemLanguage	a	FALSE	cmm-list
systemLanguage	altGlyph	FALSE	cmm-list
systemLanguage	animate	FALSE	cmm-list
systemLanguage	animateColor	FALSE	cmm-list
systemLanguage	animateMotion	FALSE	cmm-list
systemLanguage	animateTransform	FALSE	cmm-list
systemLanguage	circle	FALSE	cmm-list
systemLanguage	clipPath	FALSE	cmm-list
systemLanguage	cursor	FALSE	cmm-list
systemLanguage	defs	FALSE	cmm-list
systemLanguage	ellipse	FALSE	cmm-list
systemLanguage	foreignObject	FALSE	cmm-list
systemLanguage	g	FALSE	cmm-list
systemLanguage	image	FALSE	cmm-list
systemLanguage	line	FALSE	cmm-list
systemLanguage	mask	FALSE	cmm-list
systemLanguage	path	FALSE	cmm-list
systemLanguage	pattern	FALSE	cmm-list
systemLanguage	polygon	FALSE	cmm-list
systemLanguage	polyline	FALSE	cmm-list
systemLanguage	rect	FALSE	cmm-list
systemLanguage	set	FALSE	cmm-list
systemLanguage	svg	FALSE	cmm-list
systemLanguage	switch	FALSE	cmm-list
systemLanguage	text	FALSE	cmm-list
systemLanguage	textPath	FALSE	cmm-list
systemLanguage	tref	FALSE	cmm-list
systemLanguage	tspan	FALSE	cmm-list
systemLanguage	use	FALSE	cmm-list
version	svg	FALSE	ignore
width	image	TRUE	ignore
width	svg	TRUE	ignore
width	use	TRUE	ignore
x	image	TRUE	ignore
x	svg	TRUE	ignore
x	use	TRUE	ignore
xlink:href	image	TRUE	ignore
xlink:href	use	TRUE	ignore
xml:base	a	FALSE	ignore
xml:base	altGlyph	FALSE	ignore
xml:base	altGlyphDef	FALSE	ignore
xml:base	altGlyphItem	FALSE	ignore
xml:base	animate	FALSE	ignore
xml:base	animateColor	FALSE	ignore
xml:base	animateMotion	FALSE	ignore
xml:base	animateTransform	FALSE	ignore
xml:base	circle	FALSE	ignore
xml:base	clipPath	FALSE	ignore
xml:base	color-profile	FALSE	ignore
xml:base	cursor	FALSE	ignore
xml:base	defs	FALSE	ignore
xml:base	desc	FALSE	ignore
xml:base	ellipse	FALSE	ignore
xml:base	feBlend	FALSE	ignore
xml:base	feColorMatrix	FALSE	ignore
xml:base	feComponentTransfer	FALSE	ignore
xml:base	feComposite	FALSE	ignore
xml:base	feConvolveMatrix	FALSE	ignore
xml:base	feDiffuseLighting	FALSE	ignore
xml:base	feDisplacementMap	FALSE	ignore
xml:base	feDistantLight	FALSE	ignore
xml:base	feFlood	FALSE	ignore
xml:base	feFuncA	FALSE	ignore
xml:base	feFuncB	FALSE	ignore
xml:base	feFuncG	FALSE	ignore
xml:base	feFuncR	FALSE	ignore
xml:base	feGaussianBlur	FALSE	ignore
xml:base	feImage	FALSE	ignore
xml:base	feMerge	FALSE	ignore
xml:base	feMergeNode	FALSE	ignore
xml:base	feMorphology	FALSE	ignore
xml:base	feOffset	FALSE	ignore
xml:base	fePointLight	FALSE	ignore
xml:base	feSpecularLighting	FALSE	ignore
xml:base	feSpotLight	FALSE	ignore
xml:base	feTile	FALSE	ignore
xml:base	feTurbulence	FALSE	ignore
xml:base	filter	FALSE	ignore
xml:base	font	FALSE	ignore
xml:base	font-face	FALSE	ignore
xml:base	font-face-format	FALSE	ignore
xml:base	font-face-name	FALSE	ignore
xml:base	font-face-src	FALSE	ignore
xml:base	font-face-uri	FALSE	ignore
xml:base	foreignObject	FALSE	ignore
xml:base	g	FALSE	ignore
xml:base	glyph	FALSE	ignore
xml:base	glyphRef	FALSE	ignore
xml:base	hkern	FALSE	ignore
xml:base	image	FALSE	ignore
xml:base	line	FALSE	ignore
xml:base	linearGradient	FALSE	ignore
xml:base	marker	FALSE	ignore
xml:base	mask	FALSE	ignore
xml:base	metadata	FALSE	ignore
xml:base	missing-glyph	FALSE	ignore
xml:base	mpath	FALSE	ignore
xml:base	path	FALSE	ignore
xml:base	pattern	FALSE	ignore
xml:base	polygon	FALSE	ignore
xml:base	polyline	FALSE	ignore
xml:base	radialGradient	FALSE	ignore
xml:base	rect	FALSE	ignore
xml:base	script	FALSE	ignore
xml:base	set	FALSE	ignore
xml:base	stop	FALSE	ignore
xml:base	style	FALSE	ignore
xml:base	svg	FALSE	ignore
xml:base	switch	FALSE	ignore
xml:base	symbol	FALSE	ignore
xml:base	text	FALSE	ignore
xml:base	textPath	FALSE	ignore
xml:base	title	FALSE	ignore
xml:base	tref	FALSE	ignore
xml:base	tspan	FALSE	ignore
xml:base	use	FALSE	ignore
xml:base	view	FALSE	ignore
xml:base	vkern	FALSE	ignore
xml:lang	a	FALSE	ignore
xml:lang	altGlyph	FALSE	ignore
xml:lang	altGlyphDef	FALSE	ignore
xml:lang	altGlyphItem	FALSE	ignore
xml:lang	animate	FALSE	ignore
xml:lang	animateColor	FALSE	ignore
xml:lang	animateMotion	FALSE	ignore
xml:lang	animateTransform	FALSE	ignore
xml:lang	circle	FALSE	ignore
xml:lang	clipPath	FALSE	ignore
xml:lang	color-profile	FALSE	ignore
xml:lang	cursor	FALSE	ignore
xml:lang	defs	FALSE	ignore
xml:lang	desc	FALSE	ignore
xml:lang	ellipse	FALSE	ignore
xml:lang	feBlend	FALSE	ignore
xml:lang	feColorMatrix	FALSE	ignore
xml:lang	feComponentTransfer	FALSE	ignore
xml:lang	feComposite	FALSE	ignore
xml:lang	feConvolveMatrix	FALSE	ignore
xml:lang	feDiffuseLighting	FALSE	ignore
xml:lang	feDisplacementMap	FALSE	ignore
xml:lang	feDistantLight	FALSE	ignore
xml:lang	feFlood	FALSE	ignore
xml:lang	feFuncA	FALSE	ignore
xml:lang	feFuncB	FALSE	ignore
xml:lang	feFuncG	FALSE	ignore
xml:lang	feFuncR	FALSE	ignore
xml:lang	feGaussianBlur	FALSE	ignore
xml:lang	feImage	FALSE	ignore
xml:lang	feMerge	FALSE	ignore
xml:lang	feMergeNode	FALSE	ignore
xml:lang	feMorphology	FALSE	ignore
xml:lang	feOffset	FALSE	ignore
xml:lang	fePointLight	FALSE	ignore
xml:lang	feSpecularLighting	FALSE	ignore
xml:lang	feSpotLight	FALSE	ignore
xml:lang	feTile	FALSE	ignore
xml:lang	feTurbulence	FALSE	ignore
xml:lang	filter	FALSE	ignore
xml:lang	font	FALSE	ignore
xml:lang	font-face	FALSE	ignore
xml:lang	font-face-format	FALSE	ignore
xml:lang	font-face-name	FALSE	ignore
xml:lang	font-face-src	FALSE	ignore
xml:lang	font-face-uri	FALSE	ignore
xml:lang	foreignObject	FALSE	ignore
xml:lang	g	FALSE	ignore
xml:lang	glyph	FALSE	ignore
xml:lang	glyphRef	FALSE	ignore
xml:lang	hkern	FALSE	ignore
xml:lang	image	FALSE	ignore
xml:lang	line	FALSE	ignore
xml:lang	linearGradient	FALSE	ignore
xml:lang	marker	FALSE	ignore
xml:lang	mask	FALSE	ignore
xml:lang	metadata	FALSE	ignore
xml:lang	missing-glyph	FALSE	ignore
xml:lang	mpath	FALSE	ignore
xml:lang	path	FALSE	ignore
xml:lang	pattern	FALSE	ignore
xml:lang	polygon	FALSE	ignore
xml:lang	polyline	FALSE	ignore
xml:lang	radialGradient	FALSE	ignore
xml:lang	rect	FALSE	ignore
xml:lang	script	FALSE	ignore
xml:lang	set	FALSE	ignore
xml:lang	stop	FALSE	ignore
xml:lang	style	FALSE	ignore
xml:lang	svg	FALSE	ignore
xml:lang	switch	FALSE	ignore
xml:lang	symbol	FALSE	ignore
xml:lang	text	FALSE	ignore
xml:lang	textPath	FALSE	ignore
xml:lang	title	FALSE	ignore
xml:lang	tref	FALSE	ignore
xml:lang	tspan	FALSE	ignore
xml:lang	use	FALSE	ignore
xml:lang	view	FALSE	ignore
