attr	element	anim	link	page	loc	val	lnk	treatValueAs
additive	animateTransform	FALSE	animate.html#AdditiveAttribute	animate.html	AdditiveAttribute	"replace | sum"	NA	ignore
attributeName	animate	FALSE	animate.html#AttributeNameAttribute	animate.html	AttributeNameAttribute	<attributeName>	NA	ignore
attributeName	animateColor	FALSE	animate.html#AttributeNameAttribute	animate.html	AttributeNameAttribute	<attributeName>	NA	ignore
attributeName	animateTransform	FALSE	animate.html#AttributeNameAttribute	animate.html	AttributeNameAttribute	<attributeName>	NA	ignore
attributeName	set	FALSE	animate.html#AttributeNameAttribute	animate.html	AttributeNameAttribute	<attributeName>	NA	ignore
attributeType	animate	FALSE	animate.html#AttributeTypeAttribute	animate.html	AttributeTypeAttribute	CSS | XML | auto	NA	ignore
attributeType	animateColor	FALSE	animate.html#AttributeTypeAttribute	animate.html	AttributeTypeAttribute	CSS | XML | auto	NA	ignore
attributeType	animateTransform	FALSE	animate.html#AttributeTypeAttribute	animate.html	AttributeTypeAttribute	CSS | XML | auto	NA	ignore
attributeType	set	FALSE	animate.html#AttributeTypeAttribute	animate.html	AttributeTypeAttribute	CSS | XML | auto	NA	ignore
begin	animate	FALSE	animate.html#BeginAttribute	animate.html	BeginAttribute	begin-value-list	NA	scln-list
begin	animateColor	FALSE	animate.html#BeginAttribute	animate.html	BeginAttribute	begin-value-list	NA	scln-list
begin	animateMotion	FALSE	animate.html#BeginAttribute	animate.html	BeginAttribute	begin-value-list	NA	scln-list
begin	animateTransform	FALSE	animate.html#BeginAttribute	animate.html	BeginAttribute	begin-value-list	NA	scln-list
begin	set	FALSE	animate.html#BeginAttribute	animate.html	BeginAttribute	begin-value-list	NA	scln-list
by	animate	FALSE	animate.html#ByAttribute	animate.html	ByAttribute	"<value>"	NA	cmm-list
by	animateColor	FALSE	animate.html#ByAttribute	animate.html	ByAttribute	"<value>"	NA	cmm-list
by	animateMotion	FALSE	animate.html#ByAttribute	animate.html	ByAttribute	"<value>"	NA	cmm-list
by	animateTransform	FALSE	animate.html#ByAttribute	animate.html	ByAttribute	"<value>"	NA	cmm-list
calcMode	animate	FALSE	animate.html#CalcModeAttribute	animate.html	CalcModeAttribute	"discrete | linear | paced | spline"	NA	ignore
calcMode	animateColor	FALSE	animate.html#CalcModeAttribute	animate.html	CalcModeAttribute	"discrete | linear | paced | spline"	NA	ignore
calcMode	animateMotion	FALSE	animate.html#CalcModeAttribute	animate.html	CalcModeAttribute	"discrete | linear | paced | spline"	NA	ignore
calcMode	animateTransform	FALSE	animate.html#CalcModeAttribute	animate.html	CalcModeAttribute	"discrete | linear | paced | spline"	NA	ignore
dur	animate	FALSE	animate.html#DurAttribute	animate.html	DurAttribute	Clock-value | "media" | "indefinite"	NA	ignore
dur	animateColor	FALSE	animate.html#DurAttribute	animate.html	DurAttribute	Clock-value | "media" | "indefinite"	NA	ignore
dur	animateMotion	FALSE	animate.html#DurAttribute	animate.html	DurAttribute	Clock-value | "media" | "indefinite"	NA	ignore
dur	animateTransform	FALSE	animate.html#DurAttribute	animate.html	DurAttribute	Clock-value | "media" | "indefinite"	NA	ignore
dur	set	FALSE	animate.html#DurAttribute	animate.html	DurAttribute	Clock-value | "media" | "indefinite"	NA	ignore
end	animate	FALSE	animate.html#EndAttribute	animate.html	EndAttribute	end-value-list	NA	scln-list
end	animateColor	FALSE	animate.html#EndAttribute	animate.html	EndAttribute	end-value-list	NA	scln-list
end	animateMotion	FALSE	animate.html#EndAttribute	animate.html	EndAttribute	end-value-list	NA	scln-list
end	animateTransform	FALSE	animate.html#EndAttribute	animate.html	EndAttribute	end-value-list	NA	scln-list
end	set	FALSE	animate.html#EndAttribute	animate.html	EndAttribute	end-value-list	NA	scln-list
fill	animate	FALSE	animate.html#FillAttribute	animate.html	FillAttribute	"freeze" | "remove"	NA	ignore
fill	animateColor	FALSE	animate.html#FillAttribute	animate.html	FillAttribute	"freeze" | "remove"	NA	ignore
fill	animateMotion	FALSE	animate.html#FillAttribute	animate.html	FillAttribute	"freeze" | "remove"	NA	ignore
fill	animateTransform	FALSE	animate.html#FillAttribute	animate.html	FillAttribute	"freeze" | "remove"	NA	ignore
fill	set	FALSE	animate.html#FillAttribute	animate.html	FillAttribute	"freeze" | "remove"	NA	ignore
from	animate	FALSE	animate.html#FromAttribute	animate.html	FromAttribute	"<value>"	NA	cmm-list
from	animateColor	FALSE	animate.html#FromAttribute	animate.html	FromAttribute	"<value>"	NA	cmm-list
from	animateMotion	FALSE	animate.html#FromAttribute	animate.html	FromAttribute	"<value>"	NA	cmm-list
from	animateTransform	FALSE	animate.html#FromAttribute	animate.html	FromAttribute	"<value>"	NA	cmm-list
keyPoints	animateMotion	FALSE	animate.html#KeyPointsAttribute	animate.html	KeyPointsAttribute	<list-of-numbers>	NA	scln-list
keySplines	animate	FALSE	animate.html#KeySplinesAttribute	animate.html	KeySplinesAttribute	"<list>"	NA	cmm-scln-list
keySplines	animateColor	FALSE	animate.html#KeySplinesAttribute	animate.html	KeySplinesAttribute	"<list>"	NA	cmm-scln-list
keySplines	animateMotion	FALSE	animate.html#KeySplinesAttribute	animate.html	KeySplinesAttribute	"<list>"	NA	cmm-scln-list
keySplines	animateTransform	FALSE	animate.html#KeySplinesAttribute	animate.html	KeySplinesAttribute	"<list>"	NA	cmm-scln-list
keyTimes	animate	FALSE	animate.html#KeyTimesAttribute	animate.html	KeyTimesAttribute	"<list>"	NA	cmm-scln-list
keyTimes	animateColor	FALSE	animate.html#KeyTimesAttribute	animate.html	KeyTimesAttribute	"<list>"	NA	cmm-scln-list
keyTimes	animateMotion	FALSE	animate.html#KeyTimesAttribute	animate.html	KeyTimesAttribute	"<list>"	NA	cmm-scln-list
keyTimes	animateTransform	FALSE	animate.html#KeyTimesAttribute	animate.html	KeyTimesAttribute	"<list>"	NA	cmm-scln-list
max	animate	FALSE	animate.html#MaxAttribute	animate.html	MaxAttribute	Clock-value | "media"	NA	ignore
max	animateColor	FALSE	animate.html#MaxAttribute	animate.html	MaxAttribute	Clock-value | "media"	NA	ignore
max	animateMotion	FALSE	animate.html#MaxAttribute	animate.html	MaxAttribute	Clock-value | "media"	NA	ignore
max	animateTransform	FALSE	animate.html#MaxAttribute	animate.html	MaxAttribute	Clock-value | "media"	NA	ignore
max	set	FALSE	animate.html#MaxAttribute	animate.html	MaxAttribute	Clock-value | "media"	NA	ignore
min	animate	FALSE	animate.html#MinAttribute	animate.html	MinAttribute	Clock-value | "media"	NA	ignore
min	animateColor	FALSE	animate.html#MinAttribute	animate.html	MinAttribute	Clock-value | "media"	NA	ignore
min	animateMotion	FALSE	animate.html#MinAttribute	animate.html	MinAttribute	Clock-value | "media"	NA	ignore
min	animateTransform	FALSE	animate.html#MinAttribute	animate.html	MinAttribute	Clock-value | "media"	NA	ignore
min	set	FALSE	animate.html#MinAttribute	animate.html	MinAttribute	Clock-value | "media"	NA	ignore
origin	animateMotion	FALSE	animate.html#OriginAttribute	animate.html	OriginAttribute	default	NA	default
path	animateMotion	FALSE	animate.html#PathAttribute	animate.html	PathAttribute	<path-data>	NA	path-data-list
repeatCount	animate	FALSE	animate.html#RepeatCountAttribute	animate.html	RepeatCountAttribute	numeric value | "indefinite"	NA	ignore
repeatCount	animateColor	FALSE	animate.html#RepeatCountAttribute	animate.html	RepeatCountAttribute	numeric value | "indefinite"	NA	ignore
repeatCount	animateMotion	FALSE	animate.html#RepeatCountAttribute	animate.html	RepeatCountAttribute	numeric value | "indefinite"	NA	ignore
repeatCount	animateTransform	FALSE	animate.html#RepeatCountAttribute	animate.html	RepeatCountAttribute	numeric value | "indefinite"	NA	ignore
repeatCount	set	FALSE	animate.html#RepeatCountAttribute	animate.html	RepeatCountAttribute	numeric value | "indefinite"	NA	ignore
repeatDur	animate	FALSE	animate.html#RepeatDurAttribute	animate.html	RepeatDurAttribute	Clock-value | "indefinite"	NA	ignore
repeatDur	animateColor	FALSE	animate.html#RepeatDurAttribute	animate.html	RepeatDurAttribute	Clock-value | "indefinite"	NA	ignore
repeatDur	animateMotion	FALSE	animate.html#RepeatDurAttribute	animate.html	RepeatDurAttribute	Clock-value | "indefinite"	NA	ignore
repeatDur	animateTransform	FALSE	animate.html#RepeatDurAttribute	animate.html	RepeatDurAttribute	Clock-value | "indefinite"	NA	ignore
repeatDur	set	FALSE	animate.html#RepeatDurAttribute	animate.html	RepeatDurAttribute	Clock-value | "indefinite"	NA	ignore
restart	animate	FALSE	animate.html#RestartAttribute	animate.html	RestartAttribute	"always" | "whenNotActive" | "never"	NA	ignore
restart	animateColor	FALSE	animate.html#RestartAttribute	animate.html	RestartAttribute	"always" | "whenNotActive" | "never"	NA	ignore
restart	animateMotion	FALSE	animate.html#RestartAttribute	animate.html	RestartAttribute	"always" | "whenNotActive" | "never"	NA	ignore
restart	animateTransform	FALSE	animate.html#RestartAttribute	animate.html	RestartAttribute	"always" | "whenNotActive" | "never"	NA	ignore
restart	set	FALSE	animate.html#RestartAttribute	animate.html	RestartAttribute	"always" | "whenNotActive" | "never"	NA	ignore
rotate	animateMotion	FALSE	animate.html#RotateAttribute	animate.html	RotateAttribute	<number> | auto | auto-reverse	types.html#DataTypeNumber	ignore
to	set	FALSE	animate.html#SetElementToAttribute	animate.html	SetElementToAttribute	<value>	NA	ignore
to	animate	FALSE	animate.html#ToAttribute	animate.html	ToAttribute	"<value>"	NA	cmm-list
to	animateColor	FALSE	animate.html#ToAttribute	animate.html	ToAttribute	"<value>"	NA	cmm-list
to	animateMotion	FALSE	animate.html#ToAttribute	animate.html	ToAttribute	"<value>"	NA	cmm-list
to	animateTransform	FALSE	animate.html#ToAttribute	animate.html	ToAttribute	"<value>"	NA	cmm-list
