element	variable	value
animateColor	attr	animation addition attributes:
animateColor	attr	presentation attributes:
animateColor	attr	externalResourcesRequired
animateTransform	category	Animation Element
animateTransform	content.model	descriptive elements:
animateTransform	attr	conditional processing attributes:
animateTransform	attr	core attributes:
animateTransform	attr	animation event attributes:
animateTransform	attr	xlink attributes:
animateTransform	attr	animation attribute target attributes:
animateTransform	attr	animation timing attributes:
animateTransform	attr	animation value attributes:
animateTransform	attr	animation addition attributes:
animateTransform	attr	externalResourcesRequired
animateTransform	attr	type
rect	category	Basic Shape Element
rect	category	Graphics Element
rect	category	Shape Element
rect	content.model	animation elements:
rect	content.model	descriptive elements:
rect	attr	conditional processing attributes:
rect	attr	core attributes:
rect	attr	graphical event attributes:
rect	attr	presentation attributes:
rect	attr	class
rect	attr	style
rect	attr	externalResourcesRequired
rect	attr	transform
rect	attr	x
rect	attr	y
rect	attr	width
rect	attr	height
rect	attr	rx
rect	attr	ry
circle	category	Basic Shape Element
circle	category	Graphics Element
circle	category	Shape Element
circle	content.model	animation elements:
circle	content.model	descriptive elements:
circle	attr	conditional processing attributes:
circle	attr	core attributes:
circle	attr	graphical event attributes:
circle	attr	presentation attributes:
circle	attr	class
circle	attr	style
circle	attr	externalResourcesRequired
circle	attr	transform
circle	attr	cx
circle	attr	cy
circle	attr	r
ellipse	category	Basic Shape Element
ellipse	category	Graphics Element
ellipse	category	Shape Element
ellipse	content.model	animation elements:
ellipse	content.model	descriptive elements:
ellipse	attr	conditional processing attributes:
ellipse	attr	core attributes:
ellipse	attr	graphical event attributes:
ellipse	attr	presentation attributes:
ellipse	attr	class
ellipse	attr	style
ellipse	attr	externalResourcesRequired
ellipse	attr	transform
ellipse	attr	cx
ellipse	attr	cy
ellipse	attr	rx
ellipse	attr	ry
line	category	Basic Shape Element
line	category	Graphics Element
line	category	Shape Element
line	content.model	animation elements:
line	content.model	descriptive elements:
line	attr	conditional processing attributes:
line	attr	core attributes:
line	attr	graphical event attributes:
line	attr	presentation attributes:
line	attr	class
line	attr	style
line	attr	externalResourcesRequired
line	attr	transform
line	attr	x1
line	attr	y1
line	attr	x2
line	attr	y2
polyline	category	Basic Shape Element
polyline	category	Graphics Element
polyline	category	Shape Element
polyline	content.model	animation elements:
polyline	content.model	descriptive elements:
polyline	attr	conditional processing attributes:
polyline	attr	core attributes:
polyline	attr	graphical event attributes:
polyline	attr	presentation attributes:
polyline	attr	class
polyline	attr	style
polyline	attr	externalResourcesRequired
polyline	attr	transform
polyline	attr	points
polygon	category	Basic Shape Element
polygon	category	Graphics Element
polygon	category	Shape Element
polygon	content.model	animation elements:
polygon	content.model	descriptive elements:
polygon	attr	conditional processing attributes:
polygon	attr	core attributes:
polygon	attr	graphical event attributes:
polygon	attr	presentation attributes:
polygon	attr	class
polygon	attr	style
polygon	attr	externalResourcesRequired
polygon	attr	transform
polygon	attr	points
clipPath	category	Uncategorized Element
clipPath	content.model	descriptive elements:
clipPath	content.model	animation elements:
clipPath	content.model	shape elements:
clipPath	content.model	text
clipPath	content.model	use
